t_us,t_s,t_rel,ax,ay,az,gx,gy,gz
1227450290,1227.450290,0.000000,0.560,0.020,0.950,11.860,2.290,1.500
1227456126,1227.456126,0.005836,0.560,0.010,0.940,11.980,2.140,1.370
1227582430,1227.582430,0.132140,0.560,0.000,0.930,12.080,2.210,1.570
1227589157,1227.589157,0.138867,0.560,0.020,0.930,12.340,2.120,1.390
1227595123,1227.595123,0.144833,0.570,0.020,0.950,11.370,2.260,1.600
1227601146,1227.601146,0.150856,0.560,0.010,0.950,11.620,2.260,1.570
1227607111,1227.607111,0.156821,0.560,0.010,0.940,12.630,2.110,1.340
1227616226,1227.616226,0.165936,0.560,0.020,0.930,11.340,2.230,1.400
1227622440,1227.622440,0.172150,0.560,0.000,0.940,11.600,2.050,1.440
1227628168,1227.628168,0.177878,0.570,0.000,0.950,12.550,2.150,1.070
1227634114,1227.634114,0.183824,0.560,0.030,0.940,11.940,2.140,1.390
1227641356,1227.641356,0.191066,0.550,0.010,0.940,11.390,2.180,1.390
1227648167,1227.648167,0.197877,0.570,0.000,0.940,12.550,2.060,1.220
1227654244,1227.654244,0.203954,0.560,0.020,0.940,11.760,2.180,1.210
1227661183,1227.661183,0.210893,0.560,0.010,0.940,11.620,2.270,1.500
1227667129,1227.667129,0.216839,0.560,0.010,0.930,12.380,1.970,1.280
1227673130,1227.673130,0.222840,0.560,0.020,0.950,11.980,2.200,1.390
1227680629,1227.680629,0.230339,0.560,0.010,0.950,11.540,2.260,1.400
1227687137,1227.687137,0.236847,0.570,0.000,0.930,12.290,1.970,1.180
1227693129,1227.693129,0.242839,0.560,0.020,0.940,11.980,2.180,1.180
1227700842,1227.700842,0.250552,0.560,0.020,0.940,11.440,1.940,1.420
1227709164,1227.709164,0.258874,0.570,0.010,0.950,12.410,2.150,1.240
1227716779,1227.716779,0.266489,0.560,0.020,0.940,11.790,2.290,1.370
1227723175,1227.723175,0.272885,0.560,0.010,0.940,11.620,2.200,1.420
1227729765,1227.729765,0.279475,0.560,0.000,0.940,12.340,2.140,1.160
1227736503,1227.736503,0.286213,0.570,0.030,0.940,11.940,2.310,1.340
